"Hypothesis","Network","Summary_node","N_nodes","Strength","CI_lower","CI_upper","Rank","N_sig_higher","N_sig_lower","N_comparisons","Sig_highest","Sig_lowest","Verdict","Spec"
"H2","Study3_CMQ_Brazil","CB",6,0.413,0.316,0.559,6,0,5,5,FALSE,TRUE,"falsified","CV_AND"
"H2","Study3_CMQ_Canada","CB",6,0.643,0.554,0.772,6,0,5,5,FALSE,TRUE,"falsified","CV_AND"
"H2","Study3_CMQ_Germany","CB",6,0.637,0.519,0.77,6,0,5,5,FALSE,TRUE,"falsified","CV_AND"
"H2","Study3_CMQ_Lebanon","CB",6,0.228,0.157,0.478,6,0,5,5,FALSE,TRUE,"falsified","CV_AND"
"H2","Study3_CMQ_Morocco","CB",6,0.268,0.211,0.47,6,0,5,5,FALSE,TRUE,"falsified","CV_AND"
"H2","Study3_CMQ_South Africa","CB",6,0.285,0.197,0.48,6,0,5,5,FALSE,TRUE,"falsified","CV_AND"
"H2","Study3_CMQ_United States","CB",6,0.567,0.371,0.691,6,0,5,5,FALSE,TRUE,"falsified","CV_AND"
"H1","Study1_SUSPECTS_DEU","CM",9,0.684,0.637,0.794,9,0,7,8,FALSE,FALSE,"inconclusive","CV_OR"
"H1","Study1_SUSPECTS_ESP","CM",9,0.524,0.488,0.586,9,0,8,8,FALSE,TRUE,"falsified","CV_OR"
"H1","Study1_SUSPECTS_FRA","CM",9,0.757,0.713,0.888,8,1,6,8,FALSE,FALSE,"inconclusive","CV_OR"
"H1","Study1_SUSPECTS_GBR","CM",9,0.64,0.61,0.731,9,0,7,8,FALSE,FALSE,"inconclusive","CV_OR"
"H1","Study1_SUSPECTS_ITA","CM",9,0.617,0.582,0.725,9,0,8,8,FALSE,TRUE,"falsified","CV_OR"
"H1","Study1_SUSPECTS_POL","CM",9,0.531,0.497,0.608,9,0,8,8,FALSE,TRUE,"falsified","CV_OR"
"H1","Study1_SUSPECTS_SWE","CM",9,0.6,0.562,0.715,9,0,8,8,FALSE,TRUE,"falsified","CV_OR"
"H1","Study1_SUSPECTS_USA","CM",9,0.683,0.644,0.725,9,0,8,8,FALSE,TRUE,"falsified","CV_OR"
"H1","Study2_ACTS_USA","CM",7,1.015,0.956,1.087,1,3,0,6,FALSE,FALSE,"inconclusive","CV_OR"
"H1","Study3_CMQ_Australia","CM",5,0.197,0.143,0.381,5,0,4,4,FALSE,TRUE,"falsified","CV_OR"
"H1","Study3_CMQ_Brazil","CM",5,0.308,0.162,0.456,5,0,4,4,FALSE,TRUE,"falsified","CV_OR"
"H1","Study3_CMQ_Canada","CM",5,0.534,0.403,0.643,5,0,4,4,FALSE,TRUE,"falsified","CV_OR"
"H1","Study3_CMQ_Germany","CM",5,0.461,0.337,0.573,5,0,4,4,FALSE,TRUE,"falsified","CV_OR"
"H1","Study3_CMQ_Lebanon","CM",5,0.286,0.202,0.405,5,0,4,4,FALSE,TRUE,"falsified","CV_OR"
"H1","Study3_CMQ_Morocco","CM",5,0.541,0.389,0.668,5,0,2,4,FALSE,FALSE,"inconclusive","CV_OR"
"H1","Study3_CMQ_South Africa","CM",5,0.328,0.206,0.479,5,0,4,4,FALSE,TRUE,"falsified","CV_OR"
"H1","Study3_CMQ_United States","CM",5,0.598,0.524,0.748,5,0,2,4,FALSE,FALSE,"inconclusive","CV_OR"
"H2","Study1_SUSPECTS_DEU","CB",6,0.977,0.915,1.039,1,4,0,5,FALSE,FALSE,"inconclusive","CV_OR"
"H2","Study1_SUSPECTS_ESP","CB",6,0.716,0.661,0.78,5,0,3,5,FALSE,FALSE,"inconclusive","CV_OR"
"H2","Study1_SUSPECTS_FRA","CB",6,1.003,0.943,1.062,1,5,0,5,TRUE,FALSE,"supported","CV_OR"
"H2","Study1_SUSPECTS_GBR","CB",6,0.929,0.873,0.983,1,3,0,5,FALSE,FALSE,"inconclusive","CV_OR"
"H2","Study1_SUSPECTS_ITA","CB",6,0.853,0.795,0.91,3,1,0,5,FALSE,FALSE,"inconclusive","CV_OR"
"H2","Study1_SUSPECTS_POL","CB",6,0.751,0.698,0.816,5,1,2,5,FALSE,FALSE,"inconclusive","CV_OR"
"H2","Study1_SUSPECTS_SWE","CB",6,0.85,0.79,0.914,3,3,1,5,FALSE,FALSE,"inconclusive","CV_OR"
"H2","Study1_SUSPECTS_USA","CB",6,0.954,0.892,1.017,1,4,0,5,FALSE,FALSE,"inconclusive","CV_OR"
"H2","Study2_ACTS_USA","CB",5,0.736,0.697,0.809,4,1,3,4,FALSE,FALSE,"inconclusive","CV_OR"
"H2","Study3_CMQ_Australia","CB",6,0.636,0.517,0.765,6,0,5,5,FALSE,TRUE,"falsified","CV_OR"
"H2","Study3_CMQ_Brazil","CB",6,0.413,0.323,0.578,6,0,5,5,FALSE,TRUE,"falsified","CV_OR"
"H2","Study3_CMQ_Canada","CB",6,0.643,0.538,0.762,6,0,5,5,FALSE,TRUE,"falsified","CV_OR"
"H2","Study3_CMQ_Germany","CB",6,0.647,0.52,0.772,6,0,5,5,FALSE,TRUE,"falsified","CV_OR"
"H2","Study3_CMQ_Lebanon","CB",6,0.243,0.176,0.489,6,0,5,5,FALSE,TRUE,"falsified","CV_OR"
"H2","Study3_CMQ_Morocco","CB",6,0.282,0.232,0.475,6,0,5,5,FALSE,TRUE,"falsified","CV_OR"
"H2","Study3_CMQ_South Africa","CB",6,0.296,0.205,0.488,6,0,5,5,FALSE,TRUE,"falsified","CV_OR"
"H2","Study3_CMQ_United States","CB",6,0.567,0.387,0.688,6,0,5,5,FALSE,TRUE,"falsified","CV_OR"
